Date,From,Subject,bioguide_id
3/1/21 7:59,Senator Angus King <Senator@King.senate.gov>,Senator King's Monthly e-Newsletter: February 2021 Recap,K000383
3/1/21 8:01,Representative Byron Donalds <RepByronDonalds.noresponse@mail.house.gov>,Weekly Wrap-Up with Congressman Byron Donalds,D000032
3/1/21 8:31,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Rep. Adriano Espaillat Announces New COVID-19 Vaccine Hotline for District Residents,E000297
3/1/21 9:17,Senator Kevin Cramer <Outreach@Cramer.Senate.gov>,My Weekly Newsletter,C001096
3/1/21 9:40,Senator Roger Wicker <Roger_Wicker@Wicker.senate.gov>,Wicker Leads Push for Local Infrastructure,W000437
3/1/21 10:19,Rep. Hank Johnson <Rep.HankJohnson@MAIL.HOUSE.GOV>,Help Is On The Way,J000288
3/1/21 11:54,Rep. Andrew Garbarino <repgarbarino@mail8.housecommunications.gov>,Vaccine Distribution Update,G000597
3/1/21 12:01,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,Representative Adriano Espaillat Welcomes Wounded Warrior Fellow,E000297
3/1/21 12:21,Rep. Joe Morelle <repmorelle@mail.house.gov>,Last Week in Washington,M001206
3/1/21 15:13,Congressman David Price <Price@mail.house.gov>,House Passes American Rescue Plan,P000523
3/1/21 15:28,Rep. Tom Malinowski <RepTomMalinowski@mail.house.gov>,LEARN ABOUT THE EXCLUSIVE PPP APPLICATION WINDOW FOR SMALL BUSINESSES,M001203
3/1/21 16:00,Senator Catherine Cortez Masto <Senator@cortezmasto.senate.gov>,Nevada Health Link Offers a Special Enrollment Period – You Have Another Chance To Enroll in a Health Care Plan,C001113
3/1/21 16:01,Congressman Adriano Espaillat <Congressman.Espaillat@mail.house.gov>,"Espaillat, McEachin, Grijalva Introduce Resolution Honoring Cecil Corbin-Mark",E000297
3/1/21 16:17,Senator Tim Scott <donotreply@scott.senate.gov>,"Expanding Telehealth, Wrapping Up Black History Month",S001184
3/1/21 17:04,Congressman Mark DeSaulnier <Congressman.DeSaulnier@mail.house.gov>,The DeSaulnier Digest: Update on Coronavirus Relief,D000623
3/1/21 17:46,Rep. Burgess Owens <repowens@mail8.housecommunications.gov>,The Huddle: A Congressional Update,O000086
3/1/21 17:58,Congressman Drew Ferguson <GA03DF.Outreach@mail.house.gov>,Catching Up with Your Congressman,F000465
3/1/21 18:06,Congresswoman Nicole Malliotakis <repmalliotakis@mail8.housecommunications.gov>,An update from Congresswoman Nicole Malliotakis,M000317
3/1/21 19:04,Senator Todd Young <contact@young.senate.gov>,What the COVID relief bill should focus on,Y000064
3/1/21 20:32,Congressman French Hill <congressman.hill@mail.house.gov>,District Update: Serving Arkansans in D.C.,H001072
3/1/21 20:41,Senator Jerry Moran <Do_Not_Reply@moran.senate.gov>,Pressing the Biden Administration to Prioritize Veteran Vaccinations,M000934
3/1/21 22:23,Rep. Brad Wenstrup <Representative.Wenstrup@mail.house.gov>,"Happy birthday, Ohio!",W000815
3/1/21 22:58,Kevin McCarthy <RepublicanLeader@mail3.housecommunications.gov>,The Leader's Daily Schedule - 3/2/21,M001165
